artist_id,artist_name,status,submitted_by,reviewed_by
31TPClRtHm23RisEBtV3X7,Justin Timberlake,approved,2,1
4qwGe91Bz9K2T8jXTZ815W,Janet Jackson,approved,2,1
56oDRnqbIiwx4mymNEv7dS,Lizzo,approved,2,1
6UE7nl9mha6s8z0wFQFIZ2,Robyn,approved,2,1
08rMCq2ek1YjdDBsCPVH2s,Amerie,approved,2,1
5r1bdqzhgRoHC3YcCV6N5a,The Darkness,approved,2,1
5bLcI9Jo6RyrrHzG9veVyn,Lou Christie,approved,2,1
46njgd2Rq9tZc4ZjeQMgbh,Boz Scaggs,approved,2,1
5bYfbDXaMVCxEt7hOAvEWc,Dave Dobbyn,approved,2,1
6tVsUWjip0Tnp1EyCRX5XH,Cyrus Villanueva,approved,2,1
7jmTilWYlKOuavFfmQAcu6,Barbra Streisand,approved,2,1
4S9EykWXhStSc15wEx8QFK,Céline Dion,approved,2,1
6PFydyUHMKD2jm5NXzRPiK,Mental As Anything,approved,2,1
0gusqTJKxtU1UTmNRMHZcv,Dizzee Rascal,approved,2,1
7CajNmpbOovFoOoasH2HaY,Calvin Harris,approved,2,1
5afDPnkidHjc6e43K9bSKn,Chrom3,approved,2,1
3gdbcIdNypBsYNu3iiCjtN,The B-52's,approved,2,1
2gBjLmx6zQnFGQJCAQpRgw,Nelly,approved,2,1
1rAv1GhTQ2rmG94p9lU3rB,Julian Casablancas,approved,2,1
6CZ47nllxoNELmf1dScwPh,The Overlanders,approved,2,1
7krx6UBDKLwE0q3s3fesqF,C & C Music Factory,approved,2,1
08MVPakTEdRJimQNV61NFR,Freedom Williams,approved,2,1
6wPhSqRtPu1UhRCDX5yaDJ,The Pussycat Dolls,approved,2,1
3ExT45ORJ8pT516HRZbr7G,The Living End,approved,2,1
3loflELg7MzgrOyNqERolN,The Style Council,approved,2,1
4mar1GMMEhvGyJdWagu6KS,Quad City DJ's,approved,2,1
2wSrZOe6YVo6XoKma22sdY,Dami Im,approved,2,1
2wMcQIxzH2LYHJZNxo9FcN,John Paul Young,approved,2,1
51K48NCxjB11t9eqUWWoIq,Youth Group,approved,2,1
5pUo3fmmHT8bhCyHE52hA6,Liam Payne,approved,2,1
72TwyCcvk2jm4gZSGEPjhb,Billy Field,approved,2,1
3g4Os4LNZvOQUaokeSLCwG,P.J. Proby,approved,2,1
0f3EsoviYnRKTkmayI3cux,Men At Work,approved,2,1
7ASucWaI33cepJbo74Hlo0,E^ST,approved,2,1
1pgtr4nhBQjp9oCUBPyYWh,Fountains Of Wayne,approved,2,1
6YHEMoNPbcheiWS2haGzkn,Michael Bolton,approved,2,1
5kp9Qhzri9LrDkzrtjt5Sh,Adrian Lux,approved,2,1
33ScadVnbm2X8kkUqOkC6Z,Don Omar,approved,2,1
5bv5RplEOwdCvhq0EILh9E,Lucenzo,approved,2,1
6P7kkhED6EPrfoZuxz20Fo,Spiderbait,approved,2,1
31Qm8tlnFdAbGPok6Rfhz3,Chocolate Starfish,approved,2,1
0BZ3BHzfYwpd3k5TDnvAz8,Culture Beat,approved,2,1
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,approved,2,1
5i84V8Zk7YqCN6xxb7SWgw,Samantha Jade,approved,2,1
0MponVSpW81oLvJZ53vYZH,The Marvelettes,approved,2,1
7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,approved,2,1
5XVcYaeSTGZXwxd63aY9Tv,Damien Leith,approved,2,1
0SD4eZCN4Kr0wQk56hCdh2,Bonnie Tyler,approved,2,1
2RpHsROrX075xfIwHn6B2U,Chris de Burgh,approved,2,1
3koiLjNrgRTNbOwViDipeA,Marvin Gaye,approved,2,1
75jNCko3SnEMI5gwGqrbb8,Tammi Terrell,approved,2,1
5VWIuZAPbBdtFHdbDyYeHQ,Evermore,approved,2,1
43ZHCT0cAZBISjO8DG9PnE,Elvis Presley,approved,2,1
2qxJFvFYMEDqd7ui6kSAcq,Zedd,approved,2,1
5RJFJWYgtgWktosLrUDzff,Griff,approved,2,1
0TAITmVrG10TK5kngOwpPr,Itch,approved,2,1
49viEfjH2H3YgB52Cj0IZH,Megan Joy,approved,2,1
6748v9yNrbb4PPJuvfoMRa,Peter Allen,approved,2,1
1LZEQNv7sE11VDY3SdxQeN,Bee Gees,approved,2,1
757aE44tKEUQEqRuT6GnEB,Roddy Ricch,approved,2,1
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,approved,2,1
08ct2eZF5lUPdJpHwNKWof,Hootie & The Blowfish,approved,2,1
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,approved,2,1
21E3waRsmPlU7jZsS13rcj,Ne-Yo,approved,2,1
2GF1B0GIaFrLFLdfH6ufRO,The Exciters,approved,2,1
7dGJo4pcD2V6oG8kP0tJRR,Eminem,approved,2,1
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,approved,2,1
6LUNCFwAUUaWSDtaOcTpJH,The La De Da's,approved,2,1
6B5c4sch27tWHAGdarpPaW,Seether,approved,2,1
0fGVuq5ed21pM7iWwTcMyk,Amy Lee,approved,2,1
4sOcMLlr0hMwrLXScjAgoq,James Chatburn,approved,2,1
2AsusXITU8P25dlRNhcAbG,Gotye,approved,2,1
6hk7Yq1DU9QcCCrz9uc0Ti,Kimbra,approved,2,1
7sCcPQQft3sSxcJaB30dlb,Bluejuice,approved,2,1
74XFHRwlV6OrjEM0A2NCMF,Paramore,approved,2,1
3XsgWn63EnA4wYZBjVyxjf,Ugly Kid Joe,approved,2,1
1Ha0Fz4i0d4gu5fZbhBCtH,Night Ranger,approved,2,1
1FqqOl9itIUpXr4jZPIVoT,The Drifters,approved,2,1
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,approved,2,1
698hF4vcwHwPy8ltmXermq,Far East Movement,approved,2,1
4jbcqKzc4Wuy6MivHhzPrP,Cover Drive,approved,2,1
0Nlg1HCtb8dpeVpxQojDiq,Johnny Diesel & The Injectors,approved,2,1
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,approved,2,1
5xQKoGD7Ql92fWd1uWwKkf,Steve Perry,approved,2,1
5rSXSAkZ67PYJSvpUpkOr7,Backstreet Boys,approved,2,1
13y7CgLHjMVRMDqxdx0Xdo,Gucci Mane,approved,2,1
27T030eWyCQRmDyuvr1kxY,Scorpions,approved,2,1
6Vg8U5m1yHwqRyQMi87tay,Jimmy Gilmer,approved,2,1
6Rboxwjnvu3wLcwzhlnaSO,The Fireballs,approved,2,1
7oPftvlwr6VrsViSDV7fJY,Green Day,approved,2,1
4tX2TplrkIP4v05BNC903e,Tom Petty and the Heartbreakers,approved,2,1
2yTUYhIf8fxptTIy3KLuJD,Mike + The Mechanics,approved,2,1
6nNkKMkPl1qBCEW3Al9eVV,Billy Swan,approved,2,1
