track_id,artist_id
4rRRVHoBP8v42QdOivhhfj,1QxaPWG1POM8Ul6WwsHq4y
4tCtwWceOPWzenK2HAIJSb,1l8Fu6IkuTP0U5QetQJ5Xt
4tCtwWceOPWzenK2HAIJSb,7c0XG5cIJTrrAgEC3ULPiq
40rOKDgEB0PoedLUQELRFi,2JyWXPbkqI5ZJa3gwqVa0c
6F5c58TMEs1byxUstkzVeM,6jJ0s89eD6GaHleKKya26X
5tzbM8m70V977Ezpfk8IPS,2BTZIqw0ntH9MvilQ3ewNY
6W21LNLz9Sw7sUSNWMSHRu,3RNrq3jvMZxD9ZyoOZbQOD
5YDP1MSGDD5k0pm7j5KjMM,7bzzp2TDqSg6rXfOv501Eb
6t1FIJlZWTQfIZhsGjaulM,057gc1fxmJ2vkctjQJ7Tal
1mVTTCmWniYZrjHwHRqWyw,6sOP8RUFR0q0nBOBOXGdBK
1mVTTCmWniYZrjHwHRqWyw,0lEzfSVcNRLDUKdI7fBDD3
1QV6tiMFM6fSOKOGLMHYYg,1HY2Jd0NmPuamShAr6KMms
7K5u9x1qd2WyEkTN7ntm1A,6mU8ucezzms5I2kNH6HNlu
41on8RwRh22IHcChAN2gm8,5T0MSzX9RC5NA6gAI6irSn
41on8RwRh22IHcChAN2gm8,5K4W6rqBFWDnAN6FQUkS6x
4V9JDRqKjN8F2HWdlEDxvI,04gDigrS5kc9YWfZHwBETP
7IhsLJMqdxoo7YAZjaSMru,4OBJLual30L7gRl5UkeRcT
7IhsLJMqdxoo7YAZjaSMru,31TPClRtHm23RisEBtV3X7
0t414ewhjcIiuPVF3QECz2,4qwGe91Bz9K2T8jXTZ815W
2DJpq0JJbGiBuQ3S5TDpPD,56oDRnqbIiwx4mymNEv7dS
4zCWUhwXEgXrUY2C0hBfl2,6UE7nl9mha6s8z0wFQFIZ2
6ZyNjT2hYvfV5PuW84dp1E,08rMCq2ek1YjdDBsCPVH2s
44x9GdJsYmbaYRBm8ROyfL,5r1bdqzhgRoHC3YcCV6N5a
3YKQqwURGKQnxk9TKfq1gE,5bLcI9Jo6RyrrHzG9veVyn
0PhU6i6Kei6x0CH3jocvA3,5lpH0xAS4fVfLkACg9DAuM
2NtqZmfRIDkXJ2YvY2Kv1F,46njgd2Rq9tZc4ZjeQMgbh
2DLkQzNRBgaAbCX4MscyTC,5bYfbDXaMVCxEt7hOAvEWc
10pSiR20z5pY7a80uysJ3P,6tVsUWjip0Tnp1EyCRX5XH
1jeWrScZZuhw3b55T1fv4O,7jmTilWYlKOuavFfmQAcu6
1jeWrScZZuhw3b55T1fv4O,4S9EykWXhStSc15wEx8QFK
0uOKq55dztn2zNxpORp9F2,6PFydyUHMKD2jm5NXzRPiK
1XNvUrCop20hAWfROW1CoV,0gusqTJKxtU1UTmNRMHZcv
1XNvUrCop20hAWfROW1CoV,7CajNmpbOovFoOoasH2HaY
1XNvUrCop20hAWfROW1CoV,5afDPnkidHjc6e43K9bSKn
0LzeivEHO16a8eBQGlpVkE,3gdbcIdNypBsYNu3iiCjtN
5pZrTiyyerSGHUJExDCOxZ,2gBjLmx6zQnFGQJCAQpRgw
2cGxRwrMyEAp8dEbuZaVv6,4tZwfgrHOc3mvqYlEYSvVi
