artist_id,genre
a98,canadian pop
a99,australian rock
a100,grime
a100,instrumental grime
a100,dance pop
a100,edm
a100,electro house
a100,house
a100,pop
a100,progressive house
a100,uk dance
a101,grime
a101,instrumental grime
a101,dance pop
a101,edm
a101,electro house
a101,house
a101,pop
a101,progressive house
a101,uk dance
a102,grime
a102,instrumental grime
a102,dance pop
a102,edm
a102,electro house
a102,house
a102,pop
a102,progressive house
a102,uk dance
a103,album rock
a103,classic rock
a103,dance rock
a103,new romantic
a103,new wave
a103,new wave pop
a103,permanent wave
a103,post-punk
a103,rock
a103,zolo
a104,dance pop
a104,gangster rap
a104,hip hop
a104,pop rap
a104,rap
a104,st louis rap
a104,urban contemporary
a18,indie rock
a105,electro
a105,filter house
a105,rock
a105,indie rock
a107,diva house
a107,eurodance
a107,freestyle
a107,hip house
a108,diva house
a108,eurodance
a108,freestyle
a108,hip house
a109,dance pop
a109,girl group
a109,pop
a110,australian alternative rock
a110,australian rock
a110,australian ska
a111,new romantic
a111,new wave
a111,new wave pop
a111,sophisti-pop
a112,miami bass
a113,australian pop
a113,australian talent show
a113,talent show
a114,australian dance
a114,classic uk pop
a116,pop
a116,dance pop
a116,uk pop
a117,australian rock
a118,merseybeat
a118,rock-and-roll
a119,album rock
a119,australian rock
a119,classic rock
a119,hard rock
a119,mellow gold
a119,new romantic
a119,new wave
a119,new wave pop
a119,rock
a119,soft rock
a120,australian indie
a121,pop rock
a121,power pop
a122,soft rock
a124,latin hip hop
a124,puerto rican pop
a124,reggaeton
a124,trap latino
a124,urbano latino
a125,latin hip hop
a125,puerto rican pop
a125,reggaeton
a125,trap latino
a125,urbano latino
a126,australian alternative rock
a126,australian rock
a127,australian rock
a128,eurodance
a128,europop
a128,german techno
a128,hip house
a129,pop
a130,australian pop
a130,australian talent show
a131,classic girl group
a131,classic soul
a131,motown
a131,soul
a131,southern soul
a132,motown
a132,soul
a133,australian pop
a134,europop
a134,new wave pop
a134,soft rock
a135,new wave pop
a135,soft rock
a136,classic soul
a136,motown
a136,neo soul
a136,northern soul
a136,quiet storm
a136,soul
a136,southern soul
a137,classic soul
a137,motown
a137,neo soul
a137,northern soul
a137,quiet storm
a137,soul
a137,southern soul
a138,australian alternative rock
a138,australian rock
a138,kiwi rock
a139,rock-and-roll
a139,rockabilly
a140,complextro
a140,edm
a140,german techno
a140,pop
a140,pop dance
a140,alt z
a140,uk pop
a141,complextro
a141,edm
a141,german techno
a141,pop
a141,pop dance
a141,alt z
a141,uk pop
a142,idol
a143,idol
a144,deep soft rock
a145,disco
a145,mellow gold
a145,soft rock
a146,melodic rap
a146,rap
a146,trap
a147,canadian pop
a147,pop
a147,viral pop
a148,pop rock
a148,post-grunge
