track_id,track_name,popularity,duration_ms,explicit,preview_url,status,submitted_by,reviewed_by
2skmOCFU64Bg7Ytkgwliwe,All For You,63,218706,0,https://p.scdn.co/mp3-preview/83364250663e320011b339875d40f3a7768c28dd?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
7nQqn8ZyaQdlBQPZ6KbT24,Special,26,226493,0,https://p.scdn.co/mp3-preview/62ea26de2fe0cd2d2ce9805d3faca7a51dd59705?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
5qnqVH96GFq3Qo71lEkFT5,Saturday Sun,0,214746,0,https://p.scdn.co/mp3-preview/47204eb241dee5c510728f25ba9cb723c3ed95d9?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
6TBUBqz21JmF2hkeRbnwme,Montego Bay,39,176466,0,https://p.scdn.co/mp3-preview/2ef5849fcf4f33fe021fc5d3223dbaf346d004dd?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
5qNh5WtzMbfpSj2jLlBkoD,Your Power,0,245896,0,https://p.scdn.co/mp3-preview/a615fa9703894f6d2cff922b4e0f8346ac65c758?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
3u5vKV8Jr3XON1QWz1lUbP,Talk of the Town,10,224266,0,https://p.scdn.co/mp3-preview/da0c9cbee69e9c88d9f125c382dc32c2e9afadd9?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
7MXVkk9YMctZqd1Srtv4MB,Starboy,88,230453,1,https://p.scdn.co/mp3-preview/57c1238d183c40da3157c2892346f58445b1377c?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
3J19l4hOfwFFIF715BwVcG,Anthem for the Year 2000,41,247786,0,https://p.scdn.co/mp3-preview/6e9e16c09ac0ffdb00c3a49577c89fc29e30128f?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
39C5FuZ8C8M0QI8CrMsPkR,Foreplay / Long Time,58,467640,0,https://p.scdn.co/mp3-preview/eabd2479930dced0472b26d62224f49274f7820b?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
3KhIpPRbkjr3p1eJkD51dj,New Romantics,0,230466,0,https://p.scdn.co/mp3-preview/8abfa84aa6b12e5aabf724ba36d404e5d2ad2251?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
2l1GIxmkts2O0qYrlwGwF0,She - Original Stereo Version; 2006 Remaster,34,158960,0,https://p.scdn.co/mp3-preview/f618e29ac35f117a58f1cafbf734afacafe9728e?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
1EuI95kVxZYLbENy8d6AOI,I'm Good?,50,160186,0,https://p.scdn.co/mp3-preview/48aee5dda4d2b7d616758aadea7ca7e1e93853fb?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
