album_id,artist_id
5KKpKvLOS4tCV7cSOwIOWF,057gc1fxmJ2vkctjQJ7Tal
6A52tOKufZUBoHqui2fnNj,6sOP8RUFR0q0nBOBOXGdBK
1qwlxZTNLe1jq3b0iidlue,1HY2Jd0NmPuamShAr6KMms
5oWAiNeY4ImqhSzdXqDcMK,6mU8ucezzms5I2kNH6HNlu
4nAIqmKELnBEXEkYg1pMic,5T0MSzX9RC5NA6gAI6irSn
5zClcGCSWj926AMjvBNSLc,04gDigrS5kc9YWfZHwBETP
5PfepkNWgRR2DI02Y8AawC,4OBJLual30L7gRl5UkeRcT
7qIuZgsMkRuh7rzi4qVcpg,4qwGe91Bz9K2T8jXTZ815W
6Rct4zM36bjIH5kF2PZ5nj,56oDRnqbIiwx4mymNEv7dS
7ib5tmnBERvWGFhsRBPdm1,6UE7nl9mha6s8z0wFQFIZ2
7w2MdUz4qr0477ZtEY10pl,08rMCq2ek1YjdDBsCPVH2s
1XQdof8z0wTG0HaBoc1PHL,5r1bdqzhgRoHC3YcCV6N5a
0KEz9QGxUgb2kcpx5bdwgC,5bLcI9Jo6RyrrHzG9veVyn
02f3y3NTsddjdUMoNiBppI,5lpH0xAS4fVfLkACg9DAuM
7DysI4j6UqK00RTfETKXqs,46njgd2Rq9tZc4ZjeQMgbh
6PtsG1TZhAWMz4Vl28cuES,5bYfbDXaMVCxEt7hOAvEWc
2IItyyD14pMv9NNgqjcZrv,6tVsUWjip0Tnp1EyCRX5XH
3SwxRkHbAarf3wWlInRTzA,4S9EykWXhStSc15wEx8QFK
7aoAGNmLcBUoBCWhcWGJhb,6PFydyUHMKD2jm5NXzRPiK
5EKQI8I9axhDzVABDLAHKY,0gusqTJKxtU1UTmNRMHZcv
5EKQI8I9axhDzVABDLAHKY,7CajNmpbOovFoOoasH2HaY
5EKQI8I9axhDzVABDLAHKY,5afDPnkidHjc6e43K9bSKn
3ueq8HNaKowofxk69MuDQs,3gdbcIdNypBsYNu3iiCjtN
2ixev48xYzspaWS6mxTPRU,2gBjLmx6zQnFGQJCAQpRgw
4m2880jivSbbyEGAKfITCa,4tZwfgrHOc3mvqYlEYSvVi
0OFTdFceJ8clEpDlxq5hi8,0LyfQWJT6nXafLPZqxe9Of
4eKi4PJuybybkSbE6nNQnD,0LyfQWJT6nXafLPZqxe9Of
760FDehnzYHkDsDqfE1KkU,6wPhSqRtPu1UhRCDX5yaDJ
4NrwcdtcWnfQvMxqQwF8x7,3ExT45ORJ8pT516HRZbr7G
6tF9nPl6x7ACsKZ8alL1he,3loflELg7MzgrOyNqERolN
1xipzu4eNAdr8oBnqP0eaS,4mar1GMMEhvGyJdWagu6KS
2PCEQRUPOjYYW3qCT8PLgc,2wSrZOe6YVo6XoKma22sdY
28L7sCuuF8Zt6dW1FuZqRh,2wMcQIxzH2LYHJZNxo9FcN
7JgWdCGMBwJkYb91oiFzxd,51K48NCxjB11t9eqUWWoIq
4w0N1CaZwQ5RPIuawqlYyy,0LyfQWJT6nXafLPZqxe9Of
7hAICaEutBvl4BOVKIaJ7J,0LyfQWJT6nXafLPZqxe9Of
1NAmidJlEaVgA3MpcPFYGq,06HL4z0CvFAxyc27GXpf02
096XgmUiVnM8055Jebhyzx,3g4Os4LNZvOQUaokeSLCwG
4GDchmJ8oESRJ58cDXvnE0,0f3EsoviYnRKTkmayI3cux
4R9XQ0jz7PgVJ82UtIZFaM,7ASucWaI33cepJbo74Hlo0
6TZp52tXShLQbq8yNMxqNT,1pgtr4nhBQjp9oCUBPyYWh
5g9LXOhTPW9Iow6GZPRg2D,6YHEMoNPbcheiWS2haGzkn
3PkihmRbn1fBM07FHktcvf,5kp9Qhzri9LrDkzrtjt5Sh
6mGDfbDErYIJsmSewvccWm,33ScadVnbm2X8kkUqOkC6Z
2Nj9YgW5fgFbnGv8xO6tek,6P7kkhED6EPrfoZuxz20Fo
4djRLJLSGUAkT6MMiorGLX,31Qm8tlnFdAbGPok6Rfhz3
4dButnBmVJox87ObbC9vTr,0BZ3BHzfYwpd3k5TDnvAz8
0BCjAmbM8ryCM9gxy5yW7h,5YGY8feqx7naU7z4HrwZM6
3p56kf3Vm4ejOOgGkIzrI3,5i84V8Zk7YqCN6xxb7SWgw
4lQGx8rNgekiFN6Zk9BV7y,0MponVSpW81oLvJZ53vYZH
7JfvlSXZufIMTzPdwRqyPH,7guDJrEfX3qb6FEbdPA5qi
0wNiJEdRcrsry9vzn3L45x,5XVcYaeSTGZXwxd63aY9Tv
05c49JgPmL4Uz2ZeqRx5SP,1HY2Jd0NmPuamShAr6KMms
2W3smztLjzbuAQTIme3Pkp,0SD4eZCN4Kr0wQk56hCdh2
3azZV6V1yvATlE05bmWMCR,2RpHsROrX075xfIwHn6B2U
67Eq3nfl1km9s5ig76Cc8B,3koiLjNrgRTNbOwViDipeA
67Eq3nfl1km9s5ig76Cc8B,75jNCko3SnEMI5gwGqrbb8
15rNvcWvKVyqKsXtjUfmvS,5VWIuZAPbBdtFHdbDyYeHQ
4GV0xppHWngvgnPgAqvGxA,43ZHCT0cAZBISjO8DG9PnE
4eAf9fHtOj0mVTSV3cB2km,2qxJFvFYMEDqd7ui6kSAcq
4eAf9fHtOj0mVTSV3cB2km,5RJFJWYgtgWktosLrUDzff
59kGZJG2VznHMuQReabL55,7guDJrEfX3qb6FEbdPA5qi
41Wm88AxOWl6JK2LaM6Q1F,0TAITmVrG10TK5kngOwpPr
2TEO7y7MfqIGogslg9Jm9j,6748v9yNrbb4PPJuvfoMRa
5DDYh6LgANWIVRo0k3MGyv,1LZEQNv7sE11VDY3SdxQeN
52u4anZbHd6UInnmHRFzba,757aE44tKEUQEqRuT6GnEB
0S9QJQiRmG9JYYfJfKqhDF,7n2wHs1TKAczGzO7Dd2rGr
5AYmpTfdv1OoASUJ5rZB7K,08ct2eZF5lUPdJpHwNKWof
3SxgnytOcu80ARVznoU6P0,4iHNK0tOyZPYnBU7nGAgpQ
1i2c4K7HnASzLOo6cagJVg,2GF1B0GIaFrLFLdfH6ufRO
3PogVmhNucYNfyywZvTd7F,7dGJo4pcD2V6oG8kP0tJRR
4VwYQoCQ0InDib6evYGRD9,6LUNCFwAUUaWSDtaOcTpJH
0Txt9JXCp8TXBfEIuLxl9z,6B5c4sch27tWHAGdarpPaW
4ijUWjOHZ5VnUADcOsL1vS,7dlqUnjoF2U2DkNDMhcgG4
6EMxWaM803hd4sPsJ6PkcA,2AsusXITU8P25dlRNhcAbG
5yegnN64UF97qcdooZ3xKw,7sCcPQQft3sSxcJaB30dlb
